ticket_id,customer_query,intent,category,policy_reference,resolution_steps,sentiment,urgency
TICK-1001,Where is my order right now?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",positive,high
TICK-1002,Can I track my shipment package #88219?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",positive,low
TICK-1003,How do I check the delivery status of my recent purchase?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",positive,high
TICK-1004,"My package hasn't arrived yet, where is it?",order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",positive,medium
TICK-1005,Can you give me the tracking link for order 49201?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",negative,medium
TICK-1006,Check status of package order #10492,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",negative,medium
TICK-1007,Where is order #99214 currently located?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,medium
TICK-1008,Is there a tracking number for my order?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,medium
TICK-1009,Track my parcel please,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,low
TICK-1010,How long until my order reaches my address?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,medium
TICK-1011,When will my order be delivered?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,medium
TICK-1012,I need an update on my package shipping status,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",positive,high
TICK-1013,Status of shipment #33910?,order_tracking,Orders & Shipping,Orders can be tracked via the tracking link sent in the confirmation email or under Account > Order History. Standard domestic shipping takes 3-5 business days.,"Advise customer to check their confirmation email for the courier tracking number, or log into Account > Orders to view real-time transit status.",neutral,medium
